"NOM_ELECTION","NUMERO_TOUR","DATE_ELECTION","NOM_COLLECTIVITE","ID_COLLECTIVITE","NUMERO_BUREAU_VOTE","ARRONDISSEMENT","SECTEUR","CIRCONSCRIPTION","CANTON","NOM_BUREAU_VOTE","ADRESSE","NB_INSCRIT_THEORIQUE","NB_INSCRITS_DEPOUILLES","VOTANTS","NB_BLANCS","NB_NULS","NB_EXPRIMES","NB_PROCURATIONS","NB_CANDIDATS","NOM_CANDIDAT_01","NB_VOIX_CANDIDAT_01","NOM_CANDIDAT_02","NB_VOIX_CANDIDAT_02","NOM_CANDIDAT_03","NB_VOIX_CANDIDAT_03","NOM_CANDIDAT_04","NB_VOIX_CANDIDAT_04","NOM_CANDIDAT_05","NB_VOIX_CANDIDAT_05","NOM_CANDIDAT_06","NB_VOIX_CANDIDAT_06","NOM_CANDIDAT_07","NB_VOIX_CANDIDAT_07","NOM_CANDIDAT_08","NB_VOIX_CANDIDAT_08","NOM_CANDIDAT_09","NB_VOIX_CANDIDAT_09","NOM_CANDIDAT_10","NB_VOIX_CANDIDAT_10","NOM_CANDIDAT_11","NB_VOIX_CANDIDAT_11","NOM_CANDIDAT_12","NB_VOIX_CANDIDAT_12","NOM_CANDIDAT_13","NB_VOIX_CANDIDAT_13","NOM_CANDIDAT_14","NB_VOIX_CANDIDAT_14","NOM_CANDIDAT_15","NB_VOIX_CANDIDAT_15","NOM_CANDIDAT_16","NB_VOIX_CANDIDAT_16","NOM_CANDIDAT_17","NB_VOIX_CANDIDAT_17","NOM_CANDIDAT_18","NB_VOIX_CANDIDAT_18","NOM_CANDIDAT_19","NB_VOIX_CANDIDAT_19","NOM_CANDIDAT_20","NB_VOIX_CANDIDAT_20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,231,2,2,4,"13 - MARSEILLE 2","E MAT MOULINS","1 RUE DES MUETTES",665,652,276,0,2,274,9,9,"MARTI Jeanne",22,"SAID SOILIHI Maliza",10,"BONNET Isabelle",4,"BIAGGI Solange",21,"LHOTE Alain",14,"DJAMBAÉ Nouriati",27,"NARDUCCI Lisette",30,"PAYAN Benoît",144,"DELIGNY Yannick",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,233,2,2,4,"13 - MARSEILLE 2","E ELEM MAJOR","41A  RUE DE L'EVECHE",875,874,386,1,5,380,16,9,"MARTI Jeanne",51,"SAID SOILIHI Maliza",26,"BONNET Isabelle",4,"BIAGGI Solange",61,"LHOTE Alain",17,"DJAMBAÉ Nouriati",16,"NARDUCCI Lisette",85,"PAYAN Benoît",119,"DELIGNY Yannick",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,235,2,2,4,"13 - MARSEILLE 2","E ELEM MAJOR","41A  RUE DE L'EVECHE",1173,1161,405,3,6,396,8,9,"MARTI Jeanne",44,"SAID SOILIHI Maliza",42,"BONNET Isabelle",4,"BIAGGI Solange",68,"LHOTE Alain",31,"DJAMBAÉ Nouriati",46,"NARDUCCI Lisette",44,"PAYAN Benoît",111,"DELIGNY Yannick",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,238,2,2,4,"13 - MARSEILLE 2","E MAT FRANCOIS MOISSON","26 RUE FRANCOIS MOISSON",1371,1372,537,7,16,514,9,9,"MARTI Jeanne",43,"SAID SOILIHI Maliza",37,"BONNET Isabelle",6,"BIAGGI Solange",77,"LHOTE Alain",29,"DJAMBAÉ Nouriati",50,"NARDUCCI Lisette",74,"PAYAN Benoît",192,"DELIGNY Yannick",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,251,2,2,4,"13 - MARSEILLE 2","E MAT DAMES","6 RUE DU TERRAS",892,874,235,3,1,231,5,9,"MARTI Jeanne",24,"SAID SOILIHI Maliza",15,"BONNET Isabelle",2,"BIAGGI Solange",31,"LHOTE Alain",31,"DJAMBAÉ Nouriati",19,"NARDUCCI Lisette",30,"PAYAN Benoît",79,"DELIGNY Yannick",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,252,2,2,4,"13 - MARSEILLE 2","E MAT DAMES","6 RUE DU TERRAS",1249,1232,358,6,9,343,14,9,"MARTI Jeanne",45,"SAID SOILIHI Maliza",20,"BONNET Isabelle",4,"BIAGGI Solange",44,"LHOTE Alain",43,"DJAMBAÉ Nouriati",25,"NARDUCCI Lisette",63,"PAYAN Benoît",97,"DELIGNY Yannick",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,253,2,2,4,"13 - MARSEILLE 2","E MAT VINCENT LEBLANC","36 RUE VINCENT LEBLANC",948,939,256,0,5,251,4,9,"MARTI Jeanne",28,"SAID SOILIHI Maliza",17,"BONNET Isabelle",4,"BIAGGI Solange",52,"LHOTE Alain",34,"DJAMBAÉ Nouriati",26,"NARDUCCI Lisette",36,"PAYAN Benoît",52,"DELIGNY Yannick",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,254,2,2,4,"13 - MARSEILLE 2","E ELEM VINCENT LEBLANC","32 RUE VINCENT LEBLANC",1182,1175,339,4,3,332,13,9,"MARTI Jeanne",37,"SAID SOILIHI Maliza",26,"BONNET Isabelle",2,"BIAGGI Solange",57,"LHOTE Alain",25,"DJAMBAÉ Nouriati",31,"NARDUCCI Lisette",67,"PAYAN Benoît",84,"DELIGNY Yannick",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,255,2,2,4,"13 - MARSEILLE 2","E ELEM VINCENT LEBLANC","32 RUE VINCENT LEBLANC",1134,1131,314,2,4,308,10,9,"MARTI Jeanne",43,"SAID SOILIHI Maliza",36,"BONNET Isabelle",1,"BIAGGI Solange",60,"LHOTE Alain",21,"DJAMBAÉ Nouriati",26,"NARDUCCI Lisette",49,"PAYAN Benoît",66,"DELIGNY Yannick",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,281,2,2,4,"13 - MARSEILLE 2","E ELEM MADRAGUE VILLE","141 CHE DE LA MADRAGUE VILLE",460,464,109,0,1,108,1,9,"MARTI Jeanne",26,"SAID SOILIHI Maliza",3,"BONNET Isabelle",3,"BIAGGI Solange",18,"LHOTE Alain",14,"DJAMBAÉ Nouriati",1,"NARDUCCI Lisette",15,"PAYAN Benoît",25,"DELIGNY Yannick",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
